,LinesOfCode,Complexity,Bugs,CodeReviewComments,TestCoverage,DeveloperExperience,ReleaseVersion,DevelopmentTime
0,784,5,3,0,0.5069741979667077,4,1,38
1,659,4,0,11,0.7667328408754644,7,3,60
2,729,8,4,4,0.6522910153379539,3,1,96
3,292,6,2,0,0.9414299990218955,7,3,97
4,935,6,3,10,0.6253113600969427,6,1,81
5,863,1,4,14,0.8387059147359721,6,1,33
6,807,2,0,18,0.9052120456299454,5,3,63
7,459,6,2,4,0.7160740249624082,7,2,11
8,109,4,3,3,0.8760672604939669,6,1,13
9,823,1,3,19,0.9148011239638596,2,4,94
10,377,6,1,7,0.6895168860519091,4,3,65
11,854,1,3,8,0.548274804913729,4,4,30
12,904,2,4,13,0.6280697887073561,9,1,91
13,699,3,3,5,0.7959675790942249,6,1,23
14,170,5,3,0,0.7382386002749153,6,3,20
15,572,3,1,8,0.7439672844935885,7,4,6
16,700,1,1,15,0.7292572761183254,1,1,37
17,496,4,1,15,0.762296310377424,8,4,84
18,414,3,3,11,0.721007658897435,6,2,6
19,805,1,2,4,0.92631746189117,2,3,93
20,586,8,2,7,0.7167194872346779,6,1,77
21,651,6,4,13,0.9134351841403208,7,3,27
22,187,1,3,10,0.7546710326840933,7,4,84
23,274,3,1,14,0.5431884901853206,9,3,13
24,700,8,2,17,0.8300199311114744,8,4,8
25,949,3,3,19,0.6032973035376348,6,4,53
26,777,3,1,3,0.9236376612536891,4,2,81
27,637,4,4,9,0.8406795645483678,3,3,30
28,945,4,2,18,0.5891836746551586,4,4,1
29,172,3,2,2,0.534929508669673,3,3,88
30,877,4,0,19,0.504844085398398,6,3,80
31,215,5,1,11,0.9460248290406644,5,3,75
32,855,2,0,18,0.5667326047906811,2,3,4
33,809,3,4,13,0.8895959871256942,6,1,62
34,947,2,0,1,0.9625817129187744,9,4,68
35,531,5,3,6,0.8575893744818712,4,3,17
36,548,7,2,10,0.745409306425439,6,1,74
37,950,9,0,16,0.7347491514639375,9,1,85
38,199,3,0,16,0.941354644696452,5,2,57
39,277,4,1,3,0.744205029970195,2,2,63
40,855,1,1,17,0.7072837425747265,8,3,57
41,897,1,0,10,0.5870559761135661,9,2,49
42,759,7,3,9,0.737644720954308,2,1,18
43,247,1,0,12,0.8918239825606437,3,4,58
44,523,7,3,13,0.7782147135958704,2,3,10
45,388,4,0,6,0.5799335410303529,2,2,63
46,365,4,4,6,0.5719146828405279,8,4,80
47,797,9,4,7,0.8247315148919675,6,1,79
48,739,9,0,8,0.7696117987068763,1,2,34
49,644,9,1,13,0.6628423832084077,5,3,5
50,643,3,3,7,0.5735069474444006,2,2,17
51,814,4,4,16,0.5799350335714626,2,3,72
52,344,3,3,15,0.5647061687111257,7,3,63
53,251,1,2,8,0.7894611937694473,7,2,24
54,775,9,1,3,0.5461300852034666,1,3,92
55,610,9,1,6,0.9552723611967318,3,3,8
56,559,4,2,17,0.541485873828098,4,3,23
57,982,9,1,7,0.9001892310536193,8,4,99
58,283,3,4,2,0.9385654829406191,3,3,31
59,128,9,2,16,0.5467297282220587,5,2,81
60,902,5,4,18,0.7131529401616195,1,3,28
61,228,4,4,13,0.7366103369728552,7,3,48
62,228,1,2,4,0.7900985528816298,3,3,12
63,153,5,3,4,0.8581220871090094,5,4,88
64,650,4,3,12,0.513534492388595,8,3,79
65,588,7,1,17,0.8656986699999134,4,1,31
66,856,9,2,1,0.8834817527254627,1,2,91
67,373,1,4,5,0.5048832177981417,6,2,35
68,435,9,3,1,0.6541430836884923,5,4,55
69,488,6,3,19,0.6164327355404899,1,1,82
70,717,1,1,19,0.7517137139699763,3,2,36
71,142,7,1,7,0.9768606903319159,4,1,72
72,542,6,1,9,0.7789056504414359,2,2,60
73,643,4,1,17,0.5487343443627449,8,4,38
74,988,2,2,9,0.8108392453780441,2,2,69
75,357,9,0,0,0.9315113083301749,4,4,54
76,421,1,3,19,0.5788161378683288,5,4,14
77,157,5,1,4,0.9962147616428279,2,3,20
78,391,7,4,17,0.5425005337574127,8,1,9
79,970,6,3,16,0.5472289570752473,5,4,97
80,219,8,1,3,0.8168039448500956,1,1,82
81,879,9,1,10,0.9746487366509174,3,2,70
82,530,9,2,1,0.9683732368947277,8,1,2
83,182,3,0,4,0.7236891473035665,5,3,30
84,191,9,0,4,0.8638481715658244,1,2,6
85,996,7,2,16,0.8711189889658415,3,2,81
86,498,7,4,16,0.6534930279813063,7,3,41
87,711,2,0,15,0.5598856745487781,3,1,23
88,665,7,4,10,0.7219393378373492,5,1,31
89,733,9,3,13,0.6958871596169789,6,2,20
90,184,9,3,8,0.7659245885358464,5,2,5
91,303,4,0,11,0.9226788409101199,5,3,21
92,424,3,0,6,0.7681372721839377,9,1,75
93,874,4,3,9,0.8401350755230148,2,1,68
94,147,7,3,15,0.804588790779194,6,1,87
95,739,4,0,3,0.5492390016819855,8,3,61
96,231,7,3,19,0.5460137928059786,1,3,94
97,968,6,0,12,0.5279829141747239,2,2,42
98,280,8,2,18,0.543266245099694,4,4,41
99,946,1,1,17,0.6185866468193557,3,4,61
